"a_number","b_number","duration","noDayTime","noNightTime","calleeCarrier","weight","startTime","callDay","startDate"
"1275","1336","770","5","0","","721.0","9.2011","Wednesday","20151007"
"1275","1291","335","5","0","","481.0","9.5944","Sunday","20151011"
"1349","845","120","0","5","","241.0","17.3911","Friday","20151009"
"1357","1332","229","9","0","","481.0","6.2146","Tuesday","20151006"
"1226","1307","31382","64","21","","32881.0","17.2441","Tuesday","20151006"
"1226","1239","1389","13","0","","1681.0","8.0336","Saturday","20151010"
"1150","1392","75","5","0","","241.0","9.1853","Friday","20151009"
"1296","1367","294","0","13","","721.0","18.152","Tuesday","20151006"
"697","1349","994","5","16","","1681.0","16.5121","Friday","20151009"
"1003","1059","530","5","0","","481.0","15.4519","Sunday","20151011"
"1003","1086","2423","13","4","","3121.0","15.4822","Sunday","20151011"
"1288","1303","1071","8","21","","1681.0","22.3836","Saturday","20151010"
"1303","870","954","8","5","","1201.0","20.4052","Thursday","20151008"
"1204","1355","6080","13","8","","5761.0","7.3846","Thursday","20151008"
"867","1333","76","5","0","","241.0","13.2357","Tuesday","20151006"
"867","886","1239","5","8","","1441.0","12.0651","Tuesday","20151006"
"867","1307","2362","21","0","","2881.0","9.1329","Friday","20151009"
"1235","1332","255","5","0","","241.0","12.3451","Tuesday","20151006"
"1222","1236","46","1","0","","1.0","14.5732","Sunday","20151011"
"1285","1365","370","5","0","","481.0","15.1611","Saturday","20151010"
"1382","1333","413","8","5","","721.0","20.0658","Tuesday","20151006"
"1382","1292","3129","29","8","","4561.0","7.1757","Saturday","20151010"
"1382","1259","663","0","9","","961.0","0.4428","Friday","20151009"
"1292","1086","836","5","0","","721.0","7.3436","Sunday","20151011"
